date,tag,asset,downloads
"2026-07-12","v1.7.0","wellphases.apk","2"
"2026-07-13","v1.7.0","wellphases.apk","2"
"2026-07-14","v1.7.0","wellphases.apk","2"
"2026-07-15","v1.7.0","wellphases.apk","2"
"2026-07-16","v1.7.0","wellphases.apk","2"
"2026-07-17","v1.7.0","wellphases.apk","2"
"2026-07-18","v1.7.0","wellphases.apk","2"
"2026-07-19","v1.7.0","wellphases.apk","2"
"2026-07-20","v1.7.0","wellphases.apk","2"
"2026-07-21","v1.7.0","wellphases.apk","2"
"2026-07-22","v1.7.0","wellphases.apk","2"
"2026-07-23","v1.7.0","wellphases.apk","2"
"2026-07-24","v1.7.0","wellphases.apk","2"
"2026-07-25","v1.7.0","wellphases.apk","2"
"2026-07-26","v1.7.0","wellphases.apk","2"
"2026-07-27","v1.7.0","wellphases.apk","2"
"2026-07-28","v1.7.0","wellphases.apk","2"
"2026-07-29","v1.7.0","wellphases.apk","2"
"2026-07-30","v1.7.0","wellphases.apk","2"
"2026-07-31","v1.7.0","wellphases.apk","2"
"2026-08-01","v1.7.0","wellphases.apk","2"
"2026-08-02","v1.7.0","wellphases.apk","2"
"2026-08-03","v1.7.0","wellphases.apk","4"
"2026-08-04","v1.7.0","wellphases.apk","4"
"2026-08-05","v1.7.0","wellphases.apk","4"
"2026-08-06","v1.7.0","wellphases.apk","4"
"2026-08-07","v1.7.0","wellphases.apk","4"
"2026-08-08","v1.9.1","wellphases.apk","1"
"2026-08-08","v1.7.0","wellphases.apk","4"
"2026-08-09","v1.9.2","wellphases.apk","3"
"2026-08-09","v1.9.1","wellphases.apk","3"
"2026-08-09","v1.7.0","wellphases.apk","4"
"2026-08-10","v1.9.2","wellphases.apk","3"
"2026-08-10","v1.9.1","wellphases.apk","3"
"2026-08-10","v1.7.0","wellphases.apk","4"
"2026-08-11","v1.9.2","wellphases.apk","3"
"2026-08-11","v1.9.1","wellphases.apk","3"
"2026-08-11","v1.7.0","wellphases.apk","4"
"2026-08-12","v1.9.4","wellphases.apk","1"
"2026-08-12","v1.9.2","wellphases.apk","3"
"2026-08-12","v1.9.1","wellphases.apk","3"
"2026-08-12","v1.7.0","wellphases.apk","4"
"2026-08-13","v1.9.4","wellphases.apk","1"
"2026-08-13","v1.9.2","wellphases.apk","3"
"2026-08-13","v1.9.1","wellphases.apk","3"
"2026-08-13","v1.7.0","wellphases.apk","4"
"2026-08-14","v1.9.4","wellphases.apk","1"
"2026-08-14","v1.9.2","wellphases.apk","3"
"2026-08-14","v1.9.1","wellphases.apk","3"
"2026-08-14","v1.7.0","wellphases.apk","4"
"2026-08-15","v1.9.4","wellphases.apk","1"
"2026-08-15","v1.9.2","wellphases.apk","3"
"2026-08-15","v1.9.1","wellphases.apk","3"
"2026-08-15","v1.7.0","wellphases.apk","4"
"2026-08-16","v1.9.4","wellphases.apk","1"
"2026-08-16","v1.9.2","wellphases.apk","3"
"2026-08-16","v1.9.1","wellphases.apk","3"
"2026-08-16","v1.7.0","wellphases.apk","4"
"2026-08-17","v1.9.4","wellphases.apk","1"
"2026-08-17","v1.9.2","wellphases.apk","3"
"2026-08-17","v1.9.1","wellphases.apk","3"
"2026-08-17","v1.7.0","wellphases.apk","4"
"2026-08-18","v1.9.4","wellphases.apk","1"
"2026-08-18","v1.9.2","wellphases.apk","3"
"2026-08-18","v1.9.1","wellphases.apk","3"
"2026-08-18","v1.7.0","wellphases.apk","4"
"2026-08-19","v1.9.4","wellphases.apk","1"
"2026-08-19","v1.9.2","wellphases.apk","3"
"2026-08-19","v1.9.1","wellphases.apk","3"
"2026-08-19","v1.7.0","wellphases.apk","4"
"2026-08-20","v1.9.4","wellphases.apk","1"
"2026-08-20","v1.9.2","wellphases.apk","3"
"2026-08-20","v1.9.1","wellphases.apk","3"
"2026-08-20","v1.7.0","wellphases.apk","4"
"2026-08-21","v1.9.4","wellphases.apk","1"
"2026-08-21","v1.9.2","wellphases.apk","3"
"2026-08-21","v1.9.1","wellphases.apk","3"
"2026-08-21","v1.7.0","wellphases.apk","4"
"2026-08-22","v1.9.4","wellphases.apk","1"
"2026-08-22","v1.9.2","wellphases.apk","3"
"2026-08-22","v1.9.1","wellphases.apk","3"
"2026-08-22","v1.7.0","wellphases.apk","4"
"2026-08-23","v1.9.4","wellphases.apk","1"
"2026-08-23","v1.9.2","wellphases.apk","3"
"2026-08-23","v1.9.1","wellphases.apk","3"
"2026-08-23","v1.7.0","wellphases.apk","4"
"2026-08-24","v1.9.4","wellphases.apk","1"
"2026-08-24","v1.9.2","wellphases.apk","3"
"2026-08-24","v1.9.1","wellphases.apk","3"
"2026-08-24","v1.7.0","wellphases.apk","4"
"2026-08-25","v1.9.4","wellphases.apk","1"
"2026-08-25","v1.9.2","wellphases.apk","3"
"2026-08-25","v1.9.1","wellphases.apk","3"
"2026-08-25","v1.7.0","wellphases.apk","4"
"2026-08-26","v1.9.4","wellphases.apk","1"
"2026-08-26","v1.9.2","wellphases.apk","3"
"2026-08-26","v1.9.1","wellphases.apk","3"
"2026-08-26","v1.7.0","wellphases.apk","4"
"2026-08-27","v1.9.4","wellphases.apk","1"
"2026-08-27","v1.9.2","wellphases.apk","3"
"2026-08-27","v1.9.1","wellphases.apk","3"
"2026-08-27","v1.7.0","wellphases.apk","4"
